Raiva,Medo,Feliz,Triste,Surpreso,Neutro,Nojo
0.023052768781781197,0.0005373114254325628,0.03366880491375923,0.025001754984259605,0.08291250467300415,0.00538031617179513,0.82944655418396
0.049806006252765656,0.0005599685828201473,0.04969170317053795,0.009507725946605206,0.09882313758134842,0.013328577391803265,0.7782829403877258
0.09462617337703705,0.0014823017409071326,0.07480894774198532,0.0045816004276275635,0.11109945923089981,0.02251618541777134,0.6908853054046631
0.09995176643133163,0.0033701711799949408,0.05029129609465599,0.16816458106040955,0.08376266062259674,0.022612378001213074,0.5718472003936768
0.002249371726065874,7.720385474385694e-05,0.003177460515871644,0.9865291118621826,0.0037405695766210556,0.0009799824329093099,0.003246161388233304
0.05643053352832794,0.0007979635265655816,0.06383078545331955,0.01065356656908989,0.11545637249946594,0.019867990165948868,0.7329627871513367
0.03374054282903671,0.00021756715432275087,0.027152113616466522,0.00946856290102005,0.06727663427591324,0.007127533201128244,0.8550170063972473
0.05702982097864151,0.0008043788257054985,0.08843502402305603,0.005369349382817745,0.1345604956150055,0.026007244363427162,0.6877937316894531
0.08611124008893967,0.0012489843647927046,0.09311845898628235,0.005600111559033394,0.16078168153762817,0.019481919705867767,0.6336575150489807
0.09995397180318832,0.0018563115736469626,0.11787302047014236,0.005312070250511169,0.14298982918262482,0.04147536680102348,0.5905394554138184
0.0901729092001915,0.0012021709699183702,0.08575533330440521,0.004547315649688244,0.11898800730705261,0.029143093153834343,0.6701911091804504
0.0760081484913826,0.0008901546825654805,0.06940106302499771,0.005964191164821386,0.11222343146800995,0.02150617353618145,0.7140068411827087
